WST LHY LHR LHP LKP LAP LAR RHY RHR RHP RKP RAP RAR 
0.000000 0.000000 -0.000274 0.038501 0.076961 0.038460 0.000274 0.000000 -0.000274 0.038501 0.076961 0.038460 -0.000274 
0.000000 0.000000 -0.000277 0.038878 0.077715 0.038837 0.000277 0.000000 -0.000277 0.038878 0.077715 0.038837 -0.000277 
0.000000 0.000000 -0.000279 0.039256 0.078470 0.039214 0.000279 0.000000 -0.000279 0.039256 0.078470 0.039214 -0.000279 
0.000000 0.000000 -0.000282 0.039633 0.079225 0.039591 0.000282 0.000000 -0.000282 0.039633 0.079225 0.039591 -0.000282 
0.000000 0.000000 -0.000285 0.040011 0.079979 0.039969 0.000285 0.000000 -0.000285 0.040011 0.079979 0.039969 -0.000285 
0.000000 0.000000 -0.000287 0.040388 0.080734 0.040346 0.000287 0.000000 -0.000287 0.040388 0.080734 0.040346 -0.000287 
0.000000 0.000000 -0.000290 0.040765 0.081488 0.040723 0.000290 0.000000 -0.000290 0.040765 0.081488 0.040723 -0.000290 
0.000000 0.000000 -0.000293 0.041143 0.082243 0.041100 0.000293 0.000000 -0.000293 0.041143 0.082243 0.041100 -0.000293 
0.000000 0.000000 -0.000295 0.041520 0.082997 0.041477 0.000295 0.000000 -0.000295 0.041520 0.082997 0.041477 -0.000295 
0.000000 0.000000 -0.000298 0.041898 0.083752 0.041854 0.000298 0.000000 -0.000298 0.041898 0.083752 0.041854 -0.000298 
0.000000 0.000000 -0.000301 0.042275 0.084506 0.042231 0.000301 0.000000 -0.000301 0.042275 0.084506 0.042231 -0.000301 
0.000000 0.000000 -0.000303 0.042653 0.085261 0.042608 0.000303 0.000000 -0.000303 0.042653 0.085261 0.042608 -0.000303 
0.000000 0.000000 -0.000306 0.043030 0.086015 0.042985 0.000306 0.000000 -0.000306 0.043030 0.086015 0.042985 -0.000306 
0.000000 0.000000 -0.000309 0.043408 0.086770 0.043362 0.000309 0.000000 -0.000309 0.043408 0.086770 0.043362 -0.000309 
