0 X Y Z
0.805536 1.43375 3.43375 5.43375 
0.810531 1.43375 3.43375 5.43375 
0.815531 1.43375 3.43375 5.43375 
0.821332 1.5661 3.5661 5.5661 
0.826182 1.5661 3.5661 5.5661 
0.830487 1.5661 3.5661 5.5661 
0.83549 1.5661 3.5661 5.5661 
0.840499 1.69382 3.69382 5.69382 
0.845502 1.69382 3.69382 5.69382 
0.850491 1.69382 3.69382 5.69382 
0.855498 1.69382 3.69382 5.69382 
0.86063 1.80796 3.80796 5.80796 
0.865505 1.80796 3.80796 5.80796 
0.870497 1.80796 3.80796 5.80796 
0.875499 1.80796 3.80796 5.80796 
0.880495 1.90052 3.90052 5.90052 
0.885503 1.90052 3.90052 5.90052 
0.890494 1.90052 3.90052 5.90052 
0.895501 1.90052 3.90052 5.90052 
0.900499 1.96502 3.96502 5.96502 
0.9055 1.96502 3.96502 5.96502 
0.910493 1.96502 3.96502 5.96502 
0.915499 1.96502 3.96502 5.96502 
0.920498 1.99693 3.99693 5.99693 
0.925504 1.99693 3.99693 5.99693 
0.930496 1.99693 3.99693 5.99693 
0.935498 1.99693 3.99693 5.99693 
0.940496 1.99403 3.99403 5.99403 
0.945503 1.99403 3.99403 5.99403 
0.950493 1.99403 3.99403 5.99403 
0.9555 1.99403 3.99403 5.99403 
0.960495 1.95651 3.95651 5.95651 
0.9655 1.95651 3.95651 5.95651 
0.970495 1.95651 3.95651 5.95651 
0.975499 1.95651 3.95651 5.95651 
0.980469 1.887 3.887 5.887 
0.985508 1.887 3.887 5.887 
0.990496 1.887 3.887 5.887 
0.995499 1.887 3.887 5.887 
1.00044 1.79038 3.79038 5.79038 
1.0055 1.79038 3.79038 5.79038 
1.01049 1.79038 3.79038 5.79038 
1.0155 1.79038 3.79038 5.79038 
1.02044 1.67341 3.67341 5.67341 
1.0255 1.67341 3.67341 5.67341 
1.03049 1.67341 3.67341 5.67341 
1.0355 1.67341 3.67341 5.67341 
1.04044 1.54429 3.54429 5.54429 
1.0455 1.54429 3.54429 5.54429 
1.0505 1.54429 3.54429 5.54429 
1.0555 1.54429 3.54429 5.54429 
1.06044 1.41207 3.41207 5.41207 
1.0655 1.41207 3.41207 5.41207 
1.0705 1.41207 3.41207 5.41207 
1.0755 1.41207 3.41207 5.41207 
1.08232 1.286 3.286 5.286 
1.08552 1.286 3.286 5.286 
1.09049 1.286 3.286 5.286 
1.0955 1.286 3.286 5.286 
1.10044 1.17494 3.17494 5.17494 
1.10602 1.17494 3.17494 5.17494 
1.11044 1.17494 3.17494 5.17494 
1.11545 1.17494 3.17494 5.17494 
1.12043 1.08665 3.08665 5.08665 
1.12551 1.08665 3.08665 5.08665 
1.13049 1.08665 3.08665 5.08665 
1.1355 1.08665 3.08665 5.08665 
1.1405 1.02732 3.02732 5.02732 
1.1455 1.02732 3.02732 5.02732 
1.15049 1.02732 3.02732 5.02732 
1.1555 1.02732 3.02732 5.02732 
1.1605 1.00111 3.00111 5.00111 
1.1655 1.00111 3.00111 5.00111 
1.17049 1.00111 3.00111 5.00111 
1.1755 1.00111 3.00111 5.00111 
1.18082 1.00986 3.00986 5.00986 
1.18551 1.00986 3.00986 5.00986 
1.1905 1.00986 3.00986 5.00986 
1.1955 1.00986 3.00986 5.00986 
1.2005 1.05295 3.05295 5.05295 
1.2055 1.05295 3.05295 5.05295 
1.21049 1.05295 3.05295 5.05295 
1.2155 1.05295 3.05295 5.05295 
1.2205 1.12736 3.12736 5.12736 
1.2255 1.12736 3.12736 5.12736 
1.23049 1.12736 3.12736 5.12736 
1.2355 1.12736 3.12736 5.12736 
1.2405 1.22789 3.22789 5.22789 
1.2455 1.22789 3.22789 5.22789 
1.25049 1.22789 3.22789 5.22789 
1.2555 1.22789 3.22789 5.22789 
1.2605 1.34748 3.34748 5.34748 
1.2655 1.34748 3.34748 5.34748 
1.27049 1.34748 3.34748 5.34748 
1.2755 1.34748 3.34748 5.34748 
1.28049 1.47776 3.47776 5.47776 
1.2855 1.47776 3.47776 5.47776 
1.29049 1.47776 3.47776 5.47776 
1.2955 1.47776 3.47776 5.47776 
1.3005 1.60959 3.6096 5.60959 
1.3055 1.60959 3.6096 5.60959 
1.31049 1.60959 3.6096 5.60959 
1.3155 1.60959 3.6096 5.60959 
1.32107 1.73375 3.73375 5.73375 
1.32551 1.73375 3.73375 5.73375 
1.33052 1.73375 3.73375 5.73375 
1.33552 1.73375 3.73375 5.73375 
1.34053 1.84153 3.84153 5.84153 
1.34553 1.84153 3.84153 5.84153 
1.35052 1.84153 3.84153 5.84153 
1.35553 1.84153 3.84153 5.84153 
1.36051 1.92538 3.92538 5.92538 
1.36554 1.92538 3.92538 5.92538 
1.37053 1.92538 3.92538 5.92538 
1.37554 1.92538 3.92538 5.92538 
1.38053 1.97942 3.97942 5.97942 
1.38554 1.97942 3.97942 5.97942 
1.39053 1.97942 3.97942 5.97942 
1.39552 1.97942 3.97942 5.97942 
1.40051 1.99987 3.99987 5.99987 
1.40551 1.99987 3.99987 5.99987 
1.41053 1.99987 3.99987 5.99987 
1.41551 1.99987 3.99987 5.99987 
1.42054 1.9853 3.9853 5.9853 
1.42551 1.9853 3.9853 5.9853 
1.43053 1.9853 3.9853 5.9853 
1.43554 1.9853 3.9853 5.9853 
1.44051 1.93672 3.93672 5.93672 
1.44552 1.93672 3.93672 5.93672 
1.45053 1.93672 3.93672 5.93672 
1.45551 1.93672 3.93672 5.93672 
1.46051 1.85754 3.85754 5.85754 
1.46548 1.85754 3.85754 5.85754 
1.47053 1.85754 3.85754 5.85754 
1.47551 1.85754 3.85754 5.85754 
1.48053 1.75331 3.75331 5.75331 
1.48551 1.75331 3.75331 5.75331 
1.49053 1.75331 3.75331 5.75331 
1.49554 1.75331 3.75331 5.75331 
1.50051 1.63133 3.63133 5.63133 
1.50552 1.63133 3.63133 5.63133 
1.51053 1.63133 3.63133 5.63133 
1.51551 1.63133 3.63133 5.63133 
1.52051 1.50015 3.50015 5.50015 
1.52551 1.50015 3.50015 5.50015 
1.53053 1.50015 3.50015 5.50015 
1.53551 1.50015 3.50015 5.50015 
1.54051 1.36896 3.36896 5.36896 
1.54551 1.36896 3.36896 5.36896 
1.55053 1.36896 3.36896 5.36896 
1.55551 1.36896 3.36896 5.36896 
1.56051 1.24695 3.24695 5.24695 
1.56552 1.24695 3.24695 5.24695 
1.57053 1.24695 3.24695 5.24695 
1.57551 1.24695 3.24695 5.24695 
1.58051 1.14267 3.14267 5.14267 
1.58556 1.14267 3.14267 5.14267 
1.59053 1.14267 3.14267 5.14267 
1.59552 1.14267 3.14267 5.14267 
1.60051 1.06342 3.06342 5.06342 
1.60554 1.06342 3.06342 5.06342 
1.61053 1.06342 3.06342 5.06342 
1.61551 1.06342 3.06342 5.06342 
1.62053 1.01477 3.01477 5.01477 
1.62557 1.01477 3.01477 5.01477 
1.63053 1.01477 3.01477 5.01477 
1.63551 1.01477 3.01477 5.01477 
1.64053 1.00012 3.00012 5.00012 
1.64551 1.00012 3.00012 5.00012 
1.65053 1.00012 3.00012 5.00012 
1.65554 1.00012 3.00012 5.00012 
1.66053 1.02049 3.02049 5.02049 
1.66548 1.02049 3.02049 5.02049 
1.67053 1.02049 3.02049 5.02049 
1.67552 1.02049 3.02049 5.02049 
1.68047 1.07446 3.07446 5.07446 
1.68558 1.07446 3.07446 5.07446 
1.69053 1.07446 3.07446 5.07446 
1.69556 1.07446 3.07446 5.07446 
1.70054 1.15825 3.15825 5.15825 
1.70552 1.15825 3.15825 5.15825 
1.71053 1.15825 3.15825 5.15825 
1.71553 1.15825 3.15825 5.15825 
1.72051 1.26598 3.26598 5.26598 
1.72552 1.26598 3.26598 5.26598 
1.73053 1.26598 3.26598 5.26598 
1.73552 1.26598 3.26598 5.26598 
1.74054 1.39011 3.39011 5.39011 
1.74554 1.39011 3.39011 5.39011 
1.75053 1.39011 3.39011 5.39011 
1.75554 1.39011 3.39011 5.39011 
1.76054 1.52194 3.52194 5.52194 
1.76552 1.52194 3.52194 5.52194 
1.77045 1.52194 3.52194 5.52194 
1.77554 1.52194 3.52194 5.52194 
